variable,bin,y_min,y_max,n,RMSE,bias
LAI,1,0.101,1.625,4000,0.3843,+0.1429
LAI,2,1.625,2.828,4000,1.0348,+0.6154
LAI,3,2.828,4.019,4000,1.0798,+0.6508
LAI,4,4.019,5.449,4000,0.8174,+0.0338
LAI,5,5.450,8.000,4000,1.6780,-1.3942
Cab,1,5.003,24.520,4000,7.0033,+2.6371
Cab,2,24.525,37.842,4000,7.7921,+3.6809
Cab,3,37.846,49.549,4000,7.8308,+2.5721
Cab,4,49.550,62.626,4000,7.8316,-0.8743
Cab,5,62.626,79.993,4000,11.2261,-7.9494
fCover,1,0.049,0.557,4000,0.0822,+0.0274
fCover,2,0.557,0.758,4000,0.1022,+0.0469
fCover,3,0.758,0.868,4000,0.0682,+0.0160
fCover,4,0.868,0.934,4000,0.0593,-0.0255
fCover,5,0.934,0.982,4000,0.0750,-0.0590
CCC,1,0.805,49.455,4000,14.6751,+7.3666
CCC,2,49.468,99.517,4000,25.6234,+5.2853
CCC,3,99.520,160.630,4000,41.5734,+16.1507
CCC,4,160.642,252.585,4000,52.9229,+13.6192
CCC,5,252.615,615.542,4000,86.0707,-46.4469
CWC,1,6.706,222.508,4000,56.1171,+22.1498
CWC,2,222.566,403.295,4000,80.6282,+22.3923
CWC,3,403.331,619.464,4000,125.5439,+34.2467
CWC,4,619.471,932.762,4000,177.8990,+42.5547
CWC,5,932.955,3716.605,4000,292.9125,-116.8040
