variable,bin,y_min,y_max,n,RMSE,bias
LAI,1,1.500,2.542,4000,0.9020,+0.6056
LAI,2,2.542,3.505,4000,1.1609,+0.8064
LAI,3,3.506,4.530,4000,0.9407,+0.4741
LAI,4,4.531,5.767,4000,0.8356,-0.2779
LAI,5,5.768,8.000,4000,1.8524,-1.6288
Cab,1,25.001,35.094,4000,5.6374,+3.5777
Cab,2,35.097,44.028,4000,6.6710,+2.5044
Cab,3,44.032,53.052,4000,6.8426,+1.4331
Cab,4,53.053,62.854,4000,6.3999,-1.0193
Cab,5,62.860,74.996,4000,8.5145,-6.4721
fCover,1,0.528,0.718,4000,0.0952,+0.0629
fCover,2,0.718,0.825,4000,0.0800,+0.0404
fCover,3,0.825,0.895,4000,0.0545,+0.0017
fCover,4,0.895,0.945,4000,0.0560,-0.0355
fCover,5,0.945,0.982,4000,0.0769,-0.0676
CCC,1,38.480,113.093,4000,34.5176,+21.6203
CCC,2,113.094,159.384,4000,47.9110,+29.0913
CCC,3,159.387,213.069,4000,54.6436,+22.1900
CCC,4,213.097,289.787,4000,57.6816,-2.0429
CCC,5,289.791,588.184,4000,99.9861,-69.9595
CWC,1,124.773,392.709,4000,83.7016,+40.1502
CWC,2,392.727,558.672,4000,128.1294,+66.8807
CWC,3,558.689,752.907,4000,169.8038,+66.9338
CWC,4,752.907,1037.176,4000,205.9011,+22.8222
CWC,5,1037.176,2703.640,4000,334.6515,-198.0722
