"zona","periodo","n","LAI_medio","LAI_norm_medio","LAI_max","IPP_A","IPP_B","IPP_C","IPP_D","prop_neg_A","IPP_consenso","concordancia_n","diagnostico","concordancia"
"hayedo_cercano","2018",16,2.685,0.71,3.783,0.0141,-0.0139,0.0604,-0.0055,0.36,0.0138,"2/4","Equilibrio pastoral","Baja"
"hayedo_intermedio","2018",16,3.18,0.711,4.476,0.0302,0.0022,0.0479,-0.0035,0.29,0.0192,"3/4","Equilibrio pastoral","Baja"
"hayedo_remoto","2018",16,2.965,0.682,4.345,-0.0296,-0.0587,0.021,-0.0303,0.71,-0.0244,"3/4","Equilibrio pastoral","Baja"
"pasto_cercano","2018",16,1.65,0.659,2.504,-0.0606,-0.0908,-0.0328,0.0506,0.71,-0.0334,"3/4","Equilibrio pastoral","Baja"
"pasto_intermedio","2018",16,1.58,0.652,2.423,-0.0589,-0.0894,-0.052,0.0492,0.86,-0.0378,"3/4","Equilibrio pastoral","Baja"
"pasto_remoto","2018",16,1.579,0.662,2.383,-0.0347,-0.0647,-0.0422,0.0196,0.64,-0.0305,"3/4","Equilibrio pastoral","Baja"
"hayedo_cercano","2019",15,3.243,0.707,4.589,-0.021,0.0321,-0.0139,-0.0174,0.54,-0.0051,"3/4","Equilibrio pastoral","Baja"
"hayedo_intermedio","2019",15,3.533,0.729,4.849,0.021,0.0725,0.0117,0.004,0.23,0.0273,"4/4","Equilibrio pastoral","Alta"
"hayedo_remoto","2019",15,3.604,0.739,4.878,0.014,0.0647,0.042,0.0084,0.23,0.0323,"4/4","Equilibrio pastoral","Alta"
"pasto_cercano","2019",15,1.448,0.713,2.031,-0.0328,0.0198,0.0041,0.0637,0.46,0.0137,"3/4","Equilibrio pastoral","Baja"
"pasto_intermedio","2019",15,1.477,0.684,2.159,-0.0649,-0.01,-0.0446,0.0358,0.54,-0.0209,"3/4","Equilibrio pastoral","Baja"
"pasto_remoto","2019",15,1.499,0.728,2.059,0.0153,0.0668,0.0215,0.0515,0.31,0.0388,"4/4","Equilibrio pastoral","Alta"
"hayedo_cercano","2020",15,2.719,0.713,3.814,0.0616,0.1185,0.2042,0.0093,0.08,0.0984,"4/4","Infrautilizacion leve","Alta"
"hayedo_intermedio","2020",15,2.975,0.706,4.215,0.0534,0.1108,0.1834,-0.0039,0.23,0.0859,"3/4","Infrautilizacion leve","Baja"
"hayedo_remoto","2020",15,2.967,0.702,4.228,0.0515,0.1092,0.1951,-0.0033,0.15,0.0881,"3/4","Infrautilizacion leve","Baja"
"pasto_cercano","2020",15,1.335,0.483,2.767,-0.4447,-0.3607,-0.2406,-0.0904,1,-0.2841,"4/4","Sobrepastoreo severo","Alta"
"pasto_intermedio","2020",15,1.336,0.48,2.785,-0.4413,-0.3568,-0.2393,-0.093,1,-0.2826,"4/4","Sobrepastoreo severo","Alta"
"pasto_remoto","2020",15,1.364,0.531,2.572,-0.2775,-0.2011,-0.1366,-0.0875,1,-0.1757,"4/4","Sobrepastoreo moderado","Alta"
"hayedo_cercano","2021",16,2.97,0.712,4.172,0.0165,0.0431,0.0258,-0.0122,0.38,0.0183,"3/4","Equilibrio pastoral","Baja"
"hayedo_intermedio","2021",16,3.303,0.728,4.536,0.0589,0.085,0.0482,0.0058,0.23,0.0495,"4/4","Equilibrio pastoral","Alta"
"hayedo_remoto","2021",16,3.32,0.73,4.545,0.0364,0.0624,0.055,0.0052,0.31,0.0398,"4/4","Equilibrio pastoral","Alta"
"pasto_cercano","2021",16,1.512,0.669,2.259,-0.1,-0.0717,-0.0036,0.0316,0.85,-0.0359,"3/4","Equilibrio pastoral","Baja"
"pasto_intermedio","2021",16,1.475,0.633,2.333,-0.1485,-0.1185,-0.0822,0.0014,0.85,-0.087,"3/4","Sobrepastoreo leve","Baja"
"pasto_remoto","2021",16,1.499,0.667,2.246,-0.0646,-0.0362,-0.0365,0.0065,0.62,-0.0327,"3/4","Equilibrio pastoral","Baja"
"hayedo_cercano","2022",12,3.374,0.764,4.414,0.159,0.2071,0.1412,-0.0021,0.09,0.1263,"3/4","Infrautilizacion moderada","Baja"
"hayedo_intermedio","2022",12,3.832,0.782,4.899,0.1797,0.2267,0.1727,0.0078,0,0.1467,"4/4","Infrautilizacion moderada","Alta"
"hayedo_remoto","2022",12,3.721,0.771,4.823,0.1756,0.2232,0.1588,0.0076,0,0.1413,"4/4","Infrautilizacion moderada","Alta"
"pasto_cercano","2022",12,0.946,0.514,1.841,-0.2725,-0.201,-0.2555,-0.1249,0.91,-0.2135,"4/4","Sobrepastoreo severo","Alta"
"pasto_intermedio","2022",12,0.934,0.533,1.753,-0.2346,-0.1656,-0.2245,-0.1055,0.91,-0.1825,"4/4","Sobrepastoreo moderado","Alta"
