"date","LAI_hayedo","n_zonas_hayedo","year","doy","LAI_hayedo_max","LAI_hayedo_norm","LAI_hayedo_norm_pheno","LAI_hayedo_anom"
2018-04-19,1.36187907544828,3,2018,108,4.09818473471864,0.332312758844381,0.420536114926809,-0.0882233560824274
2018-04-24,1.91826766783931,3,2018,113,4.09818473471864,0.468077403048305,0.503795632697969,-0.035718229649664
2018-06-03,4.09818473471864,3,2018,153,4.09818473471864,1,0.954321226313275,0.0456787736867252
2018-06-23,4.09595520891604,3,2018,173,4.09818473471864,0.999455972351925,0.981542923829257,0.0179130485226678
2018-07-08,3.83005271041725,3,2018,188,4.09818473471864,0.934572977633279,0.939390433056339,-0.00481745542305967
2018-07-13,3.52748847813466,3,2018,193,4.09818473471864,0.860744135873328,0.919105400172731,-0.0583612642994032
2018-07-23,3.39196309637804,3,2018,203,4.09818473471864,0.827674523220561,0.87492852471876,-0.0472540014981987
2018-08-02,3.33115075584164,3,2018,213,4.09818473471864,0.812835675176155,0.830310100807023,-0.0174744256308683
2018-08-12,3.24712815458623,3,2018,223,4.09818473471864,0.792333280410102,0.788173281798095,0.00415999861200678
2018-08-22,3.09710069672582,3,2018,233,4.09818473471864,0.75572500929206,0.749005302942863,0.00671970634919627
2018-08-27,2.98649265060679,3,2018,238,4.09818473471864,0.728735487521117,0.730142933054037,-0.00140744553291983
2018-09-01,2.98099603005559,3,2018,243,4.09818473471864,0.727394254534563,0.711429585658045,0.0159646688765179
2018-09-11,2.74375105668843,3,2018,253,4.09818473471864,0.669503996109341,0.673411425497704,-0.00390742938836353
2018-09-26,2.41859048709183,3,2018,268,4.09818473471864,0.59016141136885,0.611848285740737,-0.0216868743718865
2018-10-16,2.16162577375618,3,2018,288,4.09818473471864,0.527459329845116,0.518694094388256,0.00876523545686014
2018-10-21,1.9046312852473,3,2018,293,4.09818473471864,0.464749982867247,0.493926717338204,-0.029176734470957
2019-04-29,2.0503167572541,3,2019,118,4.73016489187023,0.433455662566435,0.583547079897929,-0.150091417331494
2019-05-14,4.1213535161714,3,2019,133,4.73016489187023,0.871291722462952,0.789884631925484,0.0814070905374675
2019-06-03,4.34136264459989,3,2019,153,4.73016489187023,0.917803658824117,0.954321226313275,-0.0365175674891577
2019-06-08,4.73016489187023,3,2019,158,4.73016489187023,1,0.97302077515441,0.0269792248455899
2019-06-13,4.53090823328831,3,2019,163,4.73016489187023,0.957875325039008,0.98323728060431,-0.0253619555653024
2019-06-18,4.57535900817294,3,2019,168,4.73016489187023,0.967272624266575,0.985753290492577,-0.0184806662260026
2019-06-28,4.49321922995314,3,2019,178,4.73016489187023,0.949907525988294,0.971673277529852,-0.0217657515415582
2019-08-07,3.30653229345932,3,2019,218,4.73016489187023,0.69903108433752,0.808847856023377,-0.109816771685857
2019-08-17,3.75612992130212,3,2019,228,4.73016489187023,0.794080123455698,0.7682739946546,0.0258061288010982
2019-08-22,3.51476528959493,3,2019,233,4.73016489187023,0.743053438926786,0.749005302942863,-0.00595186401607706
2019-09-16,2.95178401005761,3,2019,258,4.73016489187023,0.62403406171545,0.653648249555316,-0.0296141878398658
2019-09-26,2.75760005148443,3,2019,268,4.73016489187023,0.582981801802287,0.611848285740737,-0.0288664839384498
2019-10-11,2.43420937883782,3,2019,283,4.73016489187023,0.514614064093519,0.543013066822947,-0.0283990027294283
2019-10-21,2.16762013646243,3,2019,293,4.73016489187023,0.458254666806211,0.493926717338204,-0.0356720505319926
2019-10-26,2.1655745233988,3,2019,298,4.73016489187023,0.457822205547378,0.468888948508745,-0.0110667429613674
2020-05-18,3.95207604347911,3,2020,138,4.06036313281141,0.973330688465463,0.844147111133344,0.129183577332119
2020-05-28,4.06036313281141,3,2020,148,4.06036313281141,1,0.926644181182725,0.0733558188172747
2020-06-22,3.66887556163522,3,2020,173,4.06036313281141,0.903583113536665,0.981542923829257,-0.0779598102925926
2020-06-27,3.9282905251709,3,2020,178,4.06036313281141,0.967472710365917,0.971673277529852,-0.00420056716393458
2020-07-22,3.14297910917836,3,2020,203,4.06036313281141,0.774063552045442,0.87492852471876,-0.100864972673318
2020-07-27,3.18573371848033,3,2020,208,4.06036313281141,0.78459330219426,0.85242991397595,-0.0678366117816894
2020-08-06,2.92621045345952,3,2020,218,4.06036313281141,0.720677032508027,0.808847856023377,-0.0881708235153498
2020-08-16,2.78373442160712,3,2020,228,4.06036313281141,0.685587552283694,0.7682739946546,-0.0826864423709058
2020-08-26,2.63837939632228,3,2020,238,4.06036313281141,0.649789023794889,0.730142933054037,-0.0803539092591484
2020-08-31,2.60786410245802,3,2020,243,4.06036313281141,0.642273613752454,0.711429585658045,-0.0691559719055903
2020-09-10,2.3887945348938,3,2020,253,4.06036313281141,0.588320417843955,0.673411425497704,-0.0850910076537497
2020-09-15,2.2144784883,3,2020,258,4.06036313281141,0.545389270827775,0.653648249555316,-0.108258978727541
2020-09-20,2.2717389345243,3,2020,263,4.06036313281141,0.5594915676794,0.633156461188932,-0.0736648935095314
2020-09-30,2.17985236608964,3,2020,273,4.06036313281141,0.536861432041498,0.589694176993875,-0.0528327449523767
2020-10-30,1.35179369962003,3,2020,303,4.06036313281141,0.332924335928556,0.443741045581432,-0.110816709652876
2021-04-18,1.4750778014451,3,2021,107,4.38868424055872,0.336109348631859,0.403572921515299,-0.0674635728834395
2021-04-23,1.49180959341704,3,2021,112,4.38868424055872,0.339921833434779,0.487384604556547,-0.147462771121769
2021-05-08,2.8019860681546,3,2021,127,4.38868424055872,0.638456975842463,0.714410292313694,-0.075953316471231
2021-06-02,4.36715533643896,3,2021,152,4.38868424055872,0.995094451334457,0.949513930661141,0.045580520673316
2021-06-07,4.34535470785276,3,2021,157,4.38868424055872,0.990126987878161,0.969979881410866,0.020147106467295
2021-06-12,4.38868424055872,3,2021,162,4.38868424055872,1,0.981838548916896,0.0181614510831039
2021-07-02,4.21227041584643,3,2021,182,4.38868424055872,0.959802570647045,0.96045237316782,-0.000649802520774623
2021-07-17,3.98078399881249,3,2021,197,4.38868424055872,0.907056370568527,0.901784498674934,0.00527187189359302
2021-07-22,3.86986432887669,3,2021,202,4.38868424055872,0.881782355885331,0.87943746088617,0.00234489499916068
2021-08-11,3.48402162515321,3,2021,222,4.38868424055872,0.793864728967072,0.792243565845286,0.00162116312178673
2021-08-26,3.38046832493265,3,2021,237,4.38868424055872,0.770269205902651,0.733894984249322,0.0363742216533292
2021-08-31,3.17590863546291,3,2021,242,4.38868424055872,0.723658495663062,0.71517315206828,0.00848534359478204
2021-09-05,3.18809850919471,3,2021,247,4.38868424055872,0.726436064762051,0.696388342394537,0.030047722367514
2021-09-25,2.675214803142,3,2021,267,4.38868424055872,0.609571036899529,0.616177485987531,-0.00660644908800179
2021-09-30,2.49512002793496,3,2021,272,4.38868424055872,0.56853487085626,0.594192141354171,-0.0256572704979111
2021-10-15,1.83342555347402,3,2021,287,4.38868424055872,0.417762010884748,0.523599351815461,-0.105837340930713
2022-05-28,4.58864030440999,3,2022,147,4.7097348538271,0.97428845716894,0.920012247019638,0.054276210149302
2022-06-12,4.7097348538271,3,2022,162,4.7097348538271,1,0.981838548916896,0.0181614510831039
2022-07-02,4.40874371534059,3,2022,182,4.7097348538271,0.936091702011222,0.96045237316782,-0.0243606711565979
2022-07-12,4.31708115953332,3,2022,192,4.7097348538271,0.916629341888597,0.923307850832697,-0.00667850894409994
2022-07-17,4.16438296180672,3,2022,197,4.7097348538271,0.88420751720721,0.901784498674934,-0.0175769814677238
2022-08-06,3.55189963459516,3,2022,217,4.7097348538271,0.754161273369542,0.81307952435829,-0.0589182509887487
2022-08-16,3.6965538844185,3,2022,227,4.7097348538271,0.784875157338148,0.772197202477243,0.0126779548609047
2022-09-05,3.1823121732835,3,2022,247,4.7097348538271,0.675688180343649,0.696388342394537,-0.0207001620508878
2022-09-10,3.06542779953508,3,2022,252,4.7097348538271,0.650870568020221,0.677289095815467,-0.026418527795246
2022-09-20,3.02063879044613,3,2022,262,4.7097348538271,0.641360688912578,0.637318165039959,0.00404252387261972
2022-10-05,2.76249355720216,3,2022,277,4.7097348538271,0.586549698218653,0.571378663733221,0.0151710344854321
2022-10-15,2.24008628226778,3,2022,287,4.7097348538271,0.475628958272991,0.523599351815461,-0.0479703935424701
2023-04-08,1.2986876991646,3,2023,97,2.91851309437704,0.444982652867556,0.230912054016656,0.214070598850899
2023-04-18,1.42214649168093,3,2023,107,2.91851309437704,0.487284602019059,0.403572921515299,0.0837116805037602
2023-07-22,2.87325503991987,3,2023,202,2.91851309437704,0.984492769779116,0.87943746088617,0.105055308892946
2023-07-27,2.91851309437704,3,2023,207,2.91851309437704,1,0.856911132055063,0.143088867944937
2023-08-11,2.80501497368096,3,2023,222,2.91851309437704,0.961110977739057,0.792243565845286,0.168867411893771
2023-08-21,2.59913431181049,3,2023,232,2.91851309437704,0.890567980256149,0.752818740134423,0.137749240121726
2023-09-20,2.46639085101634,3,2023,262,2.91851309437704,0.845084730223829,0.637318165039959,0.20776656518387
2023-09-25,2.18668343768392,3,2023,267,2.91851309437704,0.749245717587114,0.616177485987531,0.133068231599583
2023-09-30,2.13660697713632,3,2023,272,2.91851309437704,0.73208750759173,0.594192141354171,0.137895366237558
2023-10-05,2.07202480628304,3,2023,277,2.91851309437704,0.709959057670535,0.571378663733221,0.138580393937314
2023-10-10,2.01328452593464,3,2023,282,2.91851309437704,0.689832274459737,0.547808252262119,0.142024022197618
2023-10-30,1.91136225770355,3,2023,302,2.91851309437704,0.654909604958114,0.448773450589499,0.206136154368615
2024-04-12,1.31596132358147,3,2024,102,4.35546324598993,0.302140380771913,0.317719220751424,-0.015578839979511
2024-04-22,1.59480432071714,3,2024,112,4.35546324598993,0.366161813484586,0.487384604556547,-0.121222791071961
2024-06-26,4.35546324598993,3,2024,177,4.35546324598993,1,0.974046480035895,0.025953519964105
2024-07-31,3.87937013249635,3,2024,212,4.35546324598993,0.890690590964826,0.834688110164065,0.0560024808007608
2024-08-05,3.81052902337579,3,2024,217,4.35546324598993,0.874884899300697,0.81307952435829,0.061805374942407
2024-08-10,3.7387484330109,3,2024,222,4.35546324598993,0.85840431243523,0.792243565845286,0.0661607465899446
2024-08-20,3.62426560898617,3,2024,232,4.35546324598993,0.832119433523639,0.752818740134423,0.0793006933892159
2024-09-14,3.13547627402243,3,2024,257,4.35546324598993,0.719895013902198,0.657655309368813,0.0622397045333853
2024-09-24,2.75234015863829,3,2024,267,4.35546324598993,0.631928225125621,0.616177485987531,0.0157507391380901
2024-09-29,2.46915898379824,3,2024,272,4.35546324598993,0.566910761116305,0.594192141354171,-0.0272813802378666
2024-10-24,1.93238015319706,3,2024,297,4.35546324598993,0.443668111532385,0.473909792645459,-0.0302416811130745
2025-04-07,1.29973863017443,3,2025,96,4.87289839399152,0.266728038445673,0.213517328403456,0.0532107100422169
2025-04-09,1.31666051026179,3,2025,98,4.87289839399152,0.270200690391018,0.248303747319141,0.0218969430718761
2025-04-29,2.36364348463792,3,2025,118,4.87289839399152,0.485059053878978,0.583547079897929,-0.0984880260189506
2025-05-17,4.58039150292028,3,2025,136,4.87289839399152,0.939972708761604,0.823442083889495,0.116530624872108
2025-05-29,4.87289839399152,3,2025,148,4.87289839399152,1,0.926644181182725,0.0733558188172747
2025-06-18,4.7108682001795,3,2025,168,4.87289839399152,0.966748702576722,0.985753290492577,-0.0190045879158552
2025-06-21,4.74605811585099,3,2025,171,4.87289839399152,0.973970260020826,0.983967754733378,-0.00999749471255273
2025-06-28,4.61449220641995,3,2025,178,4.87289839399152,0.946970741706783,0.971673277529852,-0.0247025358230688
2025-07-01,4.60454404191712,3,2025,181,4.87289839399152,0.944929212477467,0.9634990657533,-0.0185698532758334
2025-07-16,4.24659928773794,3,2025,196,4.87289839399152,0.8714729806339,0.906178262099183,-0.0347052814652826
2025-08-07,3.94292783043697,3,2025,218,4.87289839399152,0.809154534249833,0.808847856023377,0.00030667822645547
2025-08-10,3.98195310765009,3,2025,221,4.87289839399152,0.817163171832189,0.79634602491628,0.0208171469159087
2025-08-15,3.66600960480183,3,2025,226,4.87289839399152,0.752326297080638,0.776147521026835,-0.023821223946197
2025-08-25,3.28692312321598,3,2025,236,4.87289839399152,0.67453143026107,0.737655158645869,-0.0631237283847993
2025-09-06,3.07460955734883,3,2025,248,4.87289839399152,0.630961146479054,0.69260122614781,-0.0616400796687563
